"id","profit","cost","reqs","stks"
"15","2665.0","654.0","11101010011111101011111111111001111111111010111101111111111111110111000111111100101111000110100111111111111110011111111111111101101011011110","1111111111111111110111101111111111111111101111110111110111111111111111111011011110111111111110110111"
"16","2657.0","648.0","11101010011111111011111111111001111111111010111101111111111111110111000111111100101111000110100111111111111110011111111110111101101011011110","1111111111111111110111101111011111111111101111110111110111111111111111111011111110111111111110110111"
"17","2654.0","647.0","11101010011111111011111111111001111111111010111101111111111111110111000111111100101111000110100111111111111110011111111111111101101011001110","1111111111111111110111101111101111111111101111110111110111111111111111111011111110111111111110110111"
"18","2652.0","646.0","11101010011111111011111111111001111111111010111101111111111111110111000111111100101111000110100111111111111110011111111111111101101011011010","1111111111111111110111101111111111111111101111110111110111111111110111111011111110111111111110110111"
"19","2641.0","644.0","11101110011111111011111111101001111111111110111101111111111111110111001111111110101111010110100111101111111110001101111111111101101011001010","1111111111111111110111101011101111111111111111110111110011111111110111111011111111111111111111110111"
"20","2628.0","640.0","11101010011111111011111111111001111111111010111101111111111111110111000111111100101111000110100111111111111110011111111110111101101011001110","1111111111111111110111101111001111111111101111110111110111111111111111111011111110111111111110110111"
"21","2626.0","639.0","11101010011111111011111111111001111111111010111101111111111111110111000111111100101111000110100111111111111110011111111110111101101011011010","1111111111111111110111101111011111111111101111110111110111111111110111111011111110111111111110110111"
"22","2620.0","634.0","11101110011111111011111111101001111111111110111101111111111111110111000111111110101111010110100111101111111110001101111111111101101011001010","1111111111111111110111101011101111111111111111110111110011111111110111111011111111111111111110110111"
"23","2602.0","633.0","11101110011111101011111111101001111111111110111101111111111111110111000111111110101111010110100111101111111110001101111111111101101011001010","1111111111111111110111101011101111111111111111110111110011111111110111111011011111111111111110110111"
"24","2600.0","632.0","11101010011111111011111111101001111111111011111101111111111111110111001111111100101111000110100111101111111110001101111111111101101111001010","1111111111111111110111101011101111111111101111111111110011111111110111111011111110111111111111110111"
"25","2594.0","627.0","11101110011111111011111111101001111111111110111101111111111111110111000111111110101111010110100111101111111110001101111110111101101011001010","1111111111111111110111101011001111111111111111110111110011111111110111111011111111111111111110110111"
"26","2589.0","624.0","11101010011111111011111111101001111111111010111101111111111111110111000111111110101111010110100111101111111110001101111111111101101011001010","1111111111111111110111101011101111111111101111110111110011111111110111111011111111111111111110110111"
"27","2581.0","621.0","11101010011111111011111111101001111111111010111101111111111111110111001111111100101111000110100111101111111110001101111111111101101011001010","1111111111111111110111101011101111111111101111110111110011111111110111111011111110111111111111110111"
"28","2560.0","611.0","11101010011111111011111111101001111111111010111101111111111111110111000111111100101111000110100111101111111110001101111111111101101011001010","1111111111111111110111101011101111111111101111110111110011111111110111111011111110111111111110110111"
"29","2542.0","610.0","11101010011111101011111111101001111111111010111101111111111111110111000111111100101111000110100111101111111110001101111111111101101011001010","1111111111111111110111101011101111111111101111110111110011111111110111111011011110111111111110110111"
"30","2534.0","604.0","11101010011111111011111111101001111111111010111101111111111111110111000111111100101111000110100111101111111110001101111110111101101011001010","1111111111111111110111101011001111111111101111110111110011111111110111111011111110111111111110110111"
"31","2516.0","603.0","11101010011111101011111111101001111111111010111101111111111111110111000111111100101111000110100111101111111110001101111110111101101011001010","1111111111111111110111101011001111111111101111110111110011111111110111111011011110111111111110110111"
"32","2511.0","601.0","11101010011111111011111111101001101111111010111101111111111111110111000111111100101111000110100111101111111110001101111110111101101011001010","1111111111111111110111101011001111111111101111110111110011111111110111111011111110111111111010110111"
"33","2506.0","597.0","11101010011111111011111111101001111111111010111101111111111111110111000111111100101111000110100111101111111110001101011110111101101011001010","1111111111111111110111101011001111111111101111010111110011111111110111111011111110111111111110110111"
"34","2497.0","596.0","11101010011111111011111111101001110111111010111101111111111111110011000111111100101111000110100111101111111110001101111111111101101011001010","0111110111111111110111101011101111111111101111110111110011111111110111111011111110111111111110110111"
"35","2483.0","594.0","11101010011111111011111111101001101111111010111101111111111111110111000111111100101111000110100111101111111110001101011110111101101011001010","1111111111111111110111101011001111111111101111010111110011111111110111111011111110111111111010110111"
"36","2479.0","591.0","11101010011111111011111111101001111111111010111101111111111110110111000111111100101111000110100111101111111110001101011110111101101011001010","1111111111111111110111101011001111111111001111010111110011111111110111111011111110111111111110110111"
"37","2471.0","589.0","11101010011111111011111111101001110111111010111101111111111111110011000111111100101111000110100111101111111110001101111110111101101011001010","0111110111111111110111101011001111111111101111110111110011111111110111111011111110111111111110110111"
"38","2456.0","588.0","11101010011111111011111111101001101111111010111101111111111110110111000111111100101111000110100111101111111110001101011110111101101011001010","1111111111111111110111101011001111111111001111010111110011111111110111111011111110111111111010110111"
"39","2452.0","586.0","11101010011111111011111111101001110111111010111101111111111110110111000111111100101111000110100111101111111110001101011110111101101011001010","1111110111111111110111101011001111111111001111010111110011111111110111111011111110111111111110110111"
"40","2449.0","585.0","11101010011111111011111111101001111111111010111101111110111110110111000111111100101111000110100111101111111110001101011110111101101011001010","1111111111111111110111101011001111111101001111010111110011111111110111111011111110111111111110110111"
"41","2443.0","582.0","11101010011111111011111111101001110111111010111101111111111111110011000111111100101111000110100111101111111110001101011110111101101011001010","0111110111111111110111101011001111111111101111010111110011111111110111111011111110111111111110110111"
"42","2425.0","581.0","11101010011111101011111111101001110111111010111101111111111111110011000111111100101111000110100111101111111110001101011110111101101011001010","0111110111111111110111101011001111111111101111010111110011111111110111111011011110111111111110110111"
"43","2421.0","579.0","11101010011111111011111111101001111111111010111101111110111110110111000111111100101011000110100111101111111110001101011110111101101011001010","1111111111111111110111101011001111111101001111010111110011111111110111111011111100111111111110110111"
"44","2420.0","578.0","11101010011111111011111111101001111111111010111101111111111111110111000111111100101111000110100111101111101110001101001110111101101011000010","1111111111111111110111101011001111011111101111010101110011111111110110111011111110111111111110110111"
"45","2416.0","576.0","11101010011111111011111111101001110111111010111101111111111110110011000111111100101111000110100111101111111110001101011110111101101011001010","0111110111111111110111101011001111111111001111010111110011111111110111111011111110111111111110110111"
"46","2403.0","575.0","11101010011111111011111101101001110111111010111101111111111111110011000111111100101111000110100111101111111110001101011110111101101011001010","0111110111111111110111101011001111111111101111010111110011111011110111111011111110111111111110110111"
"47","2393.0","572.0","11101010011111111011111111101001111111111010111101111111111110110111000111111100101111000110100111101111101110001101001110111101101011000010","1111111111111111110111101011001111011111001111010101110011111111110110111011111110111111111110110111"
"48","2386.0","570.0","11101010011111111011111111101001110111111010111101111110111110110011000111111100101111000110100111101111111110001101011110111101101011001010","0111110111111111110111101011001111111101001111010111110011111111110111111011111110111111111110110111"
"49","2378.0","569.0","11101010011111111011111111101001110111111010111101111111101111110011000111111100101111000110100111101111111110001101011110110101101011001010","0111110111111011110111101011001111111111101111010111110011111111110111111011111110111111111110010111"
"50","2368.0","568.0","11101010011111101011111111101001110111111010111101111111111110110011000111111100101110000110100111101111111110001101011110111101101011001010","0111110111111111110111101011001111111111001111010111010011111111110111111011011110111111111110110111"
"51","2366.0","567.0","11101010011111111011111111101001110111111010111101111111111110110111000111111100101111000110100111101111101110001101001110111101101011000010","1111110111111111110111101011001111011111001111010101110011111111110110111011111110111111111110110111"
"52","2363.0","566.0","11101010011111111011111111101001111111111010111101111110111110110111000111111100101111000110100111101111101110001101001110111101101011000010","1111111111111111110111101011001111011101001111010101110011111111110110111011111110111111111110110111"
"53","2358.0","564.0","11101010011111111011111111101001110111111010111101111110111110110011000111111100101011000110100111101111111110001101011110111101101011001010","0111110111111111110111101011001111111101001111010111110011111111110111111011111100111111111110110111"
"54","2357.0","563.0","11101010011111111011111111101001110111111010111101111111111111110011000111111100101111000110100111101111101110001101001110111101101011000010","0111110111111111110111101011001111011111101111010101110011111111110110111011111110111111111110110111"
"55","2340.0","562.0","11101010011111111011111111101001110111111010111001111110111110110111000111111100101011000110100111101111111110001101010110111101101011001010","1111110111111101110111101011001111111101001111010011110011111111110111111011111100111111111110110111"
"56","2338.0","561.0","11101010011111111011111111100001110111111010011101111111111111110011000111111100101111000110100110101111111110001101011110111101101011001010","0111110111111111110111101011001111111111101101000011110011111111110111111011111110111111011110110111"
"57","2335.0","560.0","11101010011111111011111111101001111111111010111101111110111110110111000111111100101011000110100111101111101110001101001110111101101011000010","1111111111111111110111101011001111011101001111010101110011111111110110111011111100111111111110110111"
"58","2332.0","559.0","11101010011111111011111111101001110111111010111001111110111110110011000111111100101011000110100111101111111110001101110110111101101011001010","0111110111111101110111101011001111111101001111110011110011111111110111111011111100111111111110110111"
"59","2330.0","557.0","11101010011111111011111111101001110111111010111101111111111110110011000111111100101111000110100111101111101110001101001110111101101011000010","0111110111111111110111101011001111011111001111010101110011111111110110111011111110111111111110110111"
"60","2320.0","556.0","11101010011111111011111111101001110111111010111101111111111111110011000111111100101111000110100111101101101110001101001110111101101011000010","0111110111111111110111101011001111001111101111010101110011111111110110111011111110111111111110110111"
"61","2314.0","555.0","11101010011111111011111111100001110111111010011001111110111110110111000111111100101011000110100110101111111110001101110111111101101011001010","1111110111111101110111101011101111111101001101100011110011111111110111111011111100111111011110110111"
"62","2307.0","553.0","11101010011111111011111111100001110111111010111001111110111110110011000111111100101011000110100110101111111110001101110111111101101011001010","0111110111111101110111101011101111111101001101110011110011111111110111111011111100111111011110110111"
"63","2304.0","552.0","11101010011111111011111111101001110111111010111001111110111110110011000111111100101011000110100111101111111110001101010110111101101011001010","0111110111111101110111101011001111111101001111010011110011111111110111111011111100111111111110110111"
"64","2300.0","551.0","11101010011111111011111111101001110111111010111101111110111110110011000111111100101111000110100111101111101110001101001110111101101011000010","0111110111111111110111101011001111011101001111010101110011111111110110111011111110111111111110110111"
"65","2295.0","550.0","11101010011111111011111111101001110111111010111101111111111111110011000111111100101111000110100111101101101110000101001110111101101011000010","0111110111111111110111101011001111001111101111010101110011111111110110111011110110111111111110110111"
"66","2288.0","548.0","11101010011111111011111111100001110111111010011001111110111110110111000111111100101011000110100110101111111110001101110110111101101011001010","1111110111111101110111101011001111111101001101100011110011111111110111111011111100111111011110110111"
"67","2281.0","546.0","11101010011111111011111111100001110111111010111001111110111110110011000111111100101011000110100110101111111110001101110110111101101011001010","0111110111111101110111101011001111111101001101110011110011111111110111111011111100111111011110110111"
"68","2278.0","545.0","11101010011111111011111111100001110111111010011001111110111110110011000111111100101011000110100110101111111110001101110111111101101011001010","0111110111111101110111101011101111111101001101100011110011111111110111111011111100111111011110110111"
"69","2268.0","544.0","11101010011111111011111111101001110111111010111101111011111111110010000111111100101111000110100111101101101110000101101110111101101011000010","0011110111111111110111001011001111001111101111110101110011111111110110111011110110111111111110110111"
"70","2260.0","541.0","11101010011111111011111111100001110111111010011001111110111110110111000111111100101011000110100110101111111110001101010110111101101011001010","1111110111111101110111101011001111111101001101000011110011111111110111111011111100111111011110110111"
"71","2252.0","538.0","11101010011111111011111111100001110111111010011001111110111110110011000111111100101011000110100110101111111110001101110110111101101011001010","0111110111111101110111101011001111111101001101100011110011111111110111111011111100111111011110110111"
"72","2240.0","537.0","11101010011111111011111111101001110111111010111101111011111111110010000111111100101111000110100111101101101110000101001110111101101011000010","0011110111111111110111001011001111001111101111010101110011111111110110111011110110111111111110110111"
"73","2229.0","535.0","11101010011111111011111111100001110111111010011001111110111110110111000111111100101011000110100110101111111110001101000110111101101011001010","1111110111111101110111101011001111111101001101000001110011111111110111111011111100111111011110110111"
"74","2224.0","531.0","11101010011111111011111111100001110111111010011001111110111110110011000111111100101011000110100110101111111110001101010110111101101011001010","0111110111111101110111101011001111111101001101000011110011111111110111111011111100111111011110110111"
"75","2210.0","530.0","11101010011111111011111111101001110111111010110101111111111111010011000111111100101111000110100111101101101110000101001110111001101011000010","0111110111101111110111101011001111001110101111010101100011111111110110111011110110111111111110110111"
"76","2206.0","529.0","11101010011111111011111111101001110111111010110101101111111111010011000111111100101111000010100111101101101110000101101111111001101011000010","0111110111101111110111101011101111001110101111110101100000111111110110111011110110111111111110110111"
"77","2201.0","528.0","11101010011111111011111111100001100111111010011001111110111110110011000111111100101011000110100110101111111110001101010110111101101011001010","0111110111111101110111101011001111111101001101000011110011111111110111111011111100111111011010110111"
"78","2195.0","527.0","11101010011111111011111111100001110111111010111001111110111110110011000111111100101011000110100110101111101110001101100110111101101011000010","0111110111111101110111101011001111011101001101110001110011111111110110111011111100111111011110110111"
"79","2193.0","525.0","11101010011111111011111111100001110111111010011001111110111110110011000111111100101011000110100110101111111110001101000110111101101011001010","0111110111111101110111101011001111111101001101000001110011111111110111111011111100111111011110110111"
"80","2186.0","524.0","11101010011111111011111111100001110111111010011001111110111110110011000111111100101011000110100110101111110110001101100110111101101011001010","0111110111111101110101101011001111111101001101100001110011111111110111111011111100111111011110110111"
"81","2180.0","522.0","11101010011111111011111111101001110111111010110101101111111111010011000111111100101111000010100111101101101110000101101110111001101011000010","0111110111101111110111101011001111001110101111110101100000111111110110111011110110111111111110110111"
"82","2174.0","521.0","11101010011110111011011111101001100111111010111101111011111111110010000111111100101111000110100111101101000110000101101110111101101011001010","0011110111111111110101001011001111001111101011110001110011111111110111111011110110111111111010110111"
"83","2169.0","520.0","11101010011111111011101111101001110111101010111001111110101110110011000111110100101011000110100111101111110110001101100111110101101011001010","0111110110111001110101101011101111111101001111110001110011111111110111111011111100111101111110010111"
"84","2166.0","519.0","11101010011111111011111111101001111111111010011101111011111111010110000111111100101111000110100110101101101110000101101110111001101011000000","1011111111101111110111001011001111001110101101100101100011111111110110111011110110111111011110110111"
"85","2158.0","517.0","11101010011111111011111111100001110111111010011001111110111110110011000111111100101011000110100110101111110110001101000110111101101011001010","0111110111111101110101101011001111111101001101000001110011111111110111111011111100111111011110110111"
"86","2156.0","516.0","11101010011111111011111111101001110111111010010101111011111111010010000111111100101111000110100110101101101110000101101111111001101011001000","0011110111101111110111001011101111001110101101100101100011111111110111111011110110111111011110110111"
"87","2152.0","515.0","11101010011111111011111111101001110111111010110101101111111111010011000111111100101111000010100111101101101110000101001110111001101011000010","0111110111101111110111101011001111001110101111010101100000111111110110111011110110111111111110110111"
"88","2147.0","514.0","11101010011110111011011111101001100111111010111101111011111111110010000111111100101111000110100111101101000110000101101110111101101011000010","0011110111111111110101001011001111001111101011110001110011111111110110111011110110111111111010110111"
"89","2143.0","513.0","11101010011111111011101111101001110111101010111001111110101110110011000111110100101011000110100111101111110110001101100110110101101011001010","0111110110111001110101101011001111111101001111110001110011111111110111111011111100111101111110010111"
"90","2139.0","512.0","11101010011111111011111111101001110111111010010101111011111111010110000111111100101111000110100110101101101110000101101110111001101011000000","1011110111101111110111001011001111001110101101100101100011111111110110111011110110111111011110110111"
"91","2136.0","511.0","11101010011110111011111111100001101111111010011101111011111111010110000111111100101111000110100110101101100110000101101111111001101011001000","1011111111101111110101001011101111001110101101100001100011111111110111111011110110111111011010110111"
"92","2130.0","509.0","11101010011111111011111111101001110111111010010101111011111111010010000111111100101111000110100110101101101110000101101110111001101011001000","0011110111101111110111001011001111001110101101100101100011111111110111111011110110111111011110110111"
"93","2123.0","508.0","11101010011110111011011111100001100111111010111101111011111111110010000111111100101111000110100110101101000110000101101110111101101011001010","0011110111111111110101001011001111001111101001110001110011111111110111111011110110111111011010110111"
"94","2120.0","507.0","11101010011110111011011111100001100111111010011101111011111111110010000111111100101111000110100110101101000110000101101111111101101011001010","0011110111111111110101001011101111001111101001100001110011111111110111111011110110111111011010110111"
"95","2115.0","506.0","11101010011111111011101111101001110111101010111001111110101110110011000111110100101011000110100111101111110110001101000110110101101011001010","0111110110111001110101101011001111111101001111010001110011111111110111111011111100111101111110010111"
"96","2110.0","504.0","11101010011110111011111111100001101111111010011101111011111111010110000111111100101111000110100110101101100110000101101110111001101011001000","1011111111101111110101001011001111001110101101100001100011111111110111111011110110111111011010110111"
"97","2105.0","503.0","11101010011111111011111111100001110111111010010101111011111111010010000111111100101111000110100110101101101110000101101110111001101011001000","0011110111101111110111001011001111001110101101100001100011111111110111111011110110111111011110110111"
"98","2103.0","502.0","11101010011111111011111111101001110111111010010101111011111111010010000111111100101111000110100110101101101110000101101110111001101011000000","0011110111101111110111001011001111001110101101100101100011111111110110111011110110111111011110110111"
"99","2096.0","501.0","11101010011110111011011111100001100111111010111101111011111111110010000111111100101111000110100110101101000110000101101110111101101011000010","0011110111111111110101001011001111001111101001110001110011111111110110111011110110111111011010110111"
"100","2094.0","500.0","11101010011110111011011111100001100111111010011101111011111111110010000111111100101111000110100110101101000110000101101110111101101011001010","0011110111111111110101001011001111001111101001100001110011111111110111111011110110111111011010110111"
"101","2089.0","499.0","11101010011111111011101111100001110111101010011001111110101110110011000111110100101011000110100110101111110110001101100111110101101011001010","0111110110111001110101101011101111111101001101100001110011111111110111111011111100111101011110010111"
"102","2086.0","498.0","11101010011110111011011111101001100111111010111001111010111110110010000111111100101011000110100111101101000110000101100111111101101011001010","0011110111111101110101001011101111001101001011110001110011111111110111111011110100111111111010110111"
"103","2084.0","496.0","11101010011111111011011111100001110111111010010101111011111111010010000111111100101111000110100110101101000110000101101111111101101011001000","0011110111101111110101001011101111001111101001100001100011111111110111111011110110111111011110110111"
"104","2075.0","495.0","11101010011111111011111111101001110111111010010101111011111111010010000111111100101111000110100110101101101110000101001110111001101011000000","0011110111101111110111001011001111001110101101000101100011111111110110111011110110111111011110110111"
"105","2073.0","494.0","11101010011110111011111111100001100111111010010101111011111111010010000111111100101111000110100110101101100110000101101111111001101011001000","0011110111101111110101001011101111001110101101100001100011111111110111111011110110111111011010110111"
"106","2067.0","493.0","11101010011110111011011111100001100111111010011101111011111111110010000111111100101111000110100110101101000110000101101110111101101011000010","0011110111111111110101001011001111001111101001100001110011111111110110111011110110111111011010110111"
"107","2061.0","488.0","11101010011110111011011111100001100111111010010101111011111111010010000111111100101111000110100110101101000110000101101111111101101011001000","0011110111101111110101001011101111001111101001100001100011111111110111111011110110111111011010110111"
"108","2047.0","487.0","11101010011110111011111111100001100111111010010101111011111111010010000111111100101111000110100110101101100110000101101110111001101011001000","0011110111101111110101001011001111001110101101100001100011111111110111111011110110111111011010110111"
"109","2035.0","480.0","11101010011110111011011111100001100111111010010101111011111111010010000111111100101111000110100110101101000110000101101111111001101011001000","0011110111101111110101001011101111001110101001100001100011111111110111111011110110111111011010110111"
"110","2017.0","479.0","11101010011110101011011111100001100111111010010101111011111111010010000111111100101111000110100110101101000110000101101111111001101011001000","0011110111101111110101001011101111001110101001100001100011111111110111111011010110111111011010110111"
"111","2009.0","473.0","11101010011110111011011111100001100111111010010101111011111111010010000111111100101111000110100110101101000110000101101110111001101011001000","0011110111101111110101001011001111001110101001100001100011111111110111111011110110111111011010110111"
"112","1995.0","472.0","11101010011110111011011110100001100111111010010101111001111101010010000111111100101111000110100110101101000110000101101111111101101011001000","0011110111101110110101001011101111001111101000100001100011111111110111111011110110111111011010110111"
"113","1982.0","466.0","11101010011110111011011111100001100111111010010101111011111111010010000111111100101111000110100110101101000110000101101110111001101011000000","0011110111101111110101001011001111001110101001100001100011111111110110111011110110111111011010110111"
"114","1969.0","464.0","11101010011110111011011110100001100111111010010101111001111101010010000111111100101111000110100110101101000110000101101111111001101011001000","0011110111101110110101001011101111001110101000100001100011111111110111111011110110111111011010110111"
"115","1954.0","459.0","11101010011110111011011111100001100111111010010101111011111111010010000111111100101111000110100110101101000110000101001110111001101011000000","0011110111101111110101001011001111001110101001000001100011111111110110111011110110111111011010110111"
"116","1950.0","458.0","11101010011110111011011111100001100111111010010101101011111111010010000111111100101111000010100110101101000110000101101111111001101011000000","0011110111101111110101001011101111001110101001100001100000111111110110111011110110111111011010110111"
"117","1943.0","457.0","11101010011110111011011110100001100111111010010101111001111101010010000111111100101111000110100110101101000110000101101110111001101011001000","0011110111101110110101001011001111001110101000100001100011111111110111111011110110111111011010110111"
"118","1927.0","453.0","11101010011110111011011111100001100111111010010101111011111110010010000111111100101111000110100110101101000110000101001110111001101011000000","0011110111101111110101001011001111001110001001000001100011111111110110111011110110111111011010110111"
"119","1924.0","451.0","11101010011110111011011111100001100111111010010101101011111111010010000111111100101111000010100110101101000110000101101110111001101011000000","0011110111101111110101001011001111001110101001100001100000111111110110111011110110111111011010110111"
"120","1921.0","450.0","11101010011110111011011111100001100111111010010001111010111110010010000111111100101011000110100110101101000110000101100111111001101011001000","0011110111101101110101001011101111001100001001100001100011111111110111111011110100111111011010110111"
"121","1903.0","449.0","11101010011110101011011111100001100111111010010001111010111110010010000111111100101011000110100110101101000110000101100111111001101011001000","0011110111101101110101001011101111001100001001100001100011111111110111111011010100111111011010110111"
"122","1895.0","443.0","11101010011110111011011111100001100111111010010001111010111110010010000111111100101011000110100110101101000110000101100110111001101011001000","0011110111101101110101001011001111001100001001100001100011111111110111111011110100111111011010110111"
"123","1884.0","442.0","11101010011110111011011110100001100111111010010101101001111101010010000111111100101111000010100110101101000110000101101111111001101011000000","0011110111101110110101001011101111001110101000100001100000111111110110111011110110111111011010110111"
"124","1868.0","436.0","11101010011110111011011111100001100111111010010001111010111110010010000111111100101011000110100110101101000110000101100110111001101011000000","0011110111101101110101001011001111001100001001100001100011111111110110111011110100111111011010110111"
"125","1858.0","435.0","11101010011110111011011110100001100111111010010101101001111101010010000111111100101111000010100110101101000110000101101110111001101011000000","0011110111101110110101001011001111001110101000100001100000111111110110111011110110111111011010110111"
"126","1855.0","434.0","11101010011110111011011110100001100111111010010001111000111100010010000111111100101011000110100110101101000110000101100111111001101011001000","0011110111101100110101001011101111001100001000100001100011111111110111111011110100111111011010110111"
"127","1843.0","431.0","01101010011010101011001111101001100101101010111001111010101010110010000111110100101001000110100111101101000110000101100110110101101011001010","0011110110111001110101001011001111001101001011110001110011011111110111111011010100111101111010010100"
"128","1840.0","429.0","11101010011110111011011111100001100111111010010001111010111110010010000111111100101011000110100110101101000110000101000110111001101011000000","0011110111101101110101001011001111001100001001000001100011111111110110111011110100111111011010110111"
"129","1836.0","428.0","11101010011110111011011111100001100111111010010001101010111110010010000111111100101011000010100110101101000110000101100111111001101011000000","0011110111101101110101001011101111001100001001100001100000111111110110111011110100111111011010110111"
"130","1829.0","427.0","11101010011110111011011110100001100111111010010001111000111100010010000111111100101011000110100110101101000110000101100110111001101011001000","0011110111101100110101001011001111001100001000100001100011111111110111111011110100111111011010110111"
"131","1824.0","426.0","11101010011110111011001111100001100111101010010001111010101110010010000111110100101011000110100110101101000110000101100111110101101011001000","0011110110101001110101001011101111001101001001100001100011111111110111111011110100111101011010010111"
"132","1818.0","425.0","01101010011010101011001111100001100101101010111001111010101010110010000111110100101001000110100110101101000110000101100111110101101011001010","0011110110111001110101001011101111001101001001110001110011011111110111111011010100111101011010010100"
"133","1816.0","424.0","01101010011010101011001111101001100101101010111001111010101010110010000111110100101001000110100111101101000110000101100110110101101011000010","0011110110111001110101001011001111001101001011110001110011011111110110111011010100111101111010010100"
"134","1810.0","421.0","11101010011110111011011111100001100111111010010001101010111110010010000111111100101011000010100110101101000110000101100110111001101011000000","0011110111101101110101001011001111001100001001100001100000111111110110111011110100111111011010110111"
"135","1802.0","420.0","11101010011110111011011110100001100111111010010001111000111100010010000111111100101011000110100110101101000110000101100110111001101011000000","0011110111101100110101001011001111001100001000100001100011111111110110111011110100111111011010110111"
"136","1798.0","418.0","11101010011110111011001111100001100111101010010001111010101110010010000111110100101011000110100110101101000110000101100111110001101011001000","0011110110101001110101001011101111001100001001100001100011111111110111111011110100111101011010010111"
"137","1789.0","417.0","01101010011010101011001111100001100101101010011001111010101010110010000111110100101001000110100110101101000110000101100111110101101011001010","0011110110111001110101001011101111001101001001100001110011011111110111111011010100111101011010010100"
"138","1782.0","414.0","11101010011110111011011111100001100111111010010001101010111110010010000111111100101011000010100110101101000110000101000110111001101011000000","0011110111101101110101001011001111001100001001000001100000111111110110111011110100111111011010110111"
"139","1780.0","413.0","11101010011010101011001111100001100111101010010001111010101110010010000111110100101011000110100110101101000110000101100111110001101011001000","0011110110101001110101001011101111001100001001100001100011111111110111111011010100111101011010010111"
"140","1772.0","411.0","11101010011110111011001111100001100111101010010001111010101110010010000111110100101011000110100110101101000110000101100110110001101011001000","0011110110101001110101001011001111001100001001100001100011111111110111111011110100111101011010010111"
"141","1763.0","410.0","01101010011010101011001111100001100101101010011001111010101010110010000111110100101001000110100110101101000110000101100110110101101011001010","0011110110111001110101001011001111001101001001100001110011011111110111111011010100111101011010010100"
"142","1760.0","409.0","01101010011110111011101111100001100101101010010001111010101010010010000111110100101001000110100110101101100110000101100111110001101011001000","0011110110101001110101001011101111001100001101100001100011011111110111111011110100111101011010010100"
"143","1754.0","406.0","11101010011010101011001111100001100111101010010001111010101110010010000111110100101011000110100110101101000110000101100110110001101011001000","0011110110101001110101001011001111001100001001100001100011111111110111111011010100111101011010010111"
"144","1748.0","403.0","01101010011110111011001111100001100101101010010001111010101010010010000111110100101001000110100110101101000110000101100111110101101011001000","0011110110101001110101001011101111001101001001100001100011011111110111111011110100111101011010010100"
